취업동아리	3	1	0	0	1	0	0	0	25	0	1	3	9	0	0	2	3	0	6	0	5	2	16	3	0	0	0	0	10	4	0	2	2	0	0	5	0	0	0	6	25	7	0	4	0	2	3	0	0	0	0	1	0	0	0
직무	45	75	34	55	90	25	64	36	216	5	25	137	45	32	4	33	93	0	29	0	80	48	53	145	4	6	31	1	150	22	183	92	76	24	19	71	23	131	6	0	23	101	23	38	19	11	10	58	3	70	5	7	17	15	1
참여	192	18	2	1	12	6	8	13	36	6	7	7	5	4	1	14	4	0	5	2	2	19	12	9	0	3	0	57	27	42	4	9	1	17	1	29	3	14	25	23	0	3	1	15	0	0	3	11	0	5	0	0	0	4	0
결과	3	4	8	40	1	2	3	2	50	0	1	3	10	1	0	4	8	0	3	7	2	19	2	0	0	0	2	0	17	3	169	6	4	3	5	39	1	5	7	101	3	0	5	4	0	1	3	2	0	3	7	2	0	0	0
입사지원서	0	3	2	2	7	1	8	1	6	0	0	51	2	7	0	0	4	0	1	0	1	3	1	7	0	0	0	0	157	2	8	0	0	0	3	4	17	3	0	23	1	5	0	1	0	0	2	3	1	0	0	6	0	1	0
학생	54	23	85	2	25	5	6	62	141	99	27	15	115	12	2	30	40	352	0	0	23	6	12	19	8	644	11	0	23	8	12	97	11	11	0	27	1	59	4	38	15	4	1	0	0	18	4	10	93	17	1	89	0	17	96
선배들	0	0	0	0	0	0	0	68	14	0	0	1	1	1	0	0	202	0	14	0	0	0	0	19	2	0	14	0	1	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	15	108	0	0	0	18	0
전공관련	1	26	0	0	1	4	0	2	62	24	10	1	5	0	0	2	40	0	1	0	9	0	3	9	0	14	31	0	5	1	21	218	78	2	7	4	2	40	2	11	0	1	0	18	0	0	0	0	0	32	0	0	18	1	0
준비사항	24	3	2	3	1	1	5	18	168	22	1	4	11	3	0	7	17	0	7	0	0	12	17	5	1	1	8	0	18	17	2	4	2	1	2	13	2	11	3	10	3	3	2	4	0	0	0	0	1	9	0	0	0	1	1
중심	10	31	4	6	29	87	19	3	121	30	0	44	3	9	0	96	6	0	3	0	3	7	4	6	0	9	4	110	24	2	6	11	2	2	6	3	4	28	0	58	11	2	3	10	0	0	0	0	0	6	0	0	6	1	0
제시	0	1	0	0	2	0	1	14	18	0	0	4	5	0	0	0	14	92	15	0	0	0	1	0	0	92	14	0	6	0	1	1	1	0	0	1	3	3	0	3	0	0	1	93	15	0	1	0	0	14	0	0	0	0	93
진출	3	37	1	0	0	11	0	202	262	29	8	1	8	0	1	13	518	0	148	0	11	0	3	9	0	12	283	0	6	7	56	168	68	2	47	5	0	37	0	70	5	3	0	17	108	32	9	6	14	0	1	0	47	25	0
직업선호도	0	0	1	170	0	0	0	104	4	0	0	0	2	0	0	10	5	0	0	0	0	0	1	2	0	0	1	0	0	0	212	2	103	0	0	0	0	1	0	5	0	7	0	1	0	0	0	0	0	1	0	0	0	0	0
발표	0	0	0	0	0	1	0	0	5	0	0	7	87	0	0	0	0	0	1	0	4	6	0	0	0	1	0	0	6	0	0	0	0	0	0	0	2	0	1	7	0	2	6	89	0	0	0	0	0	0	0	0	0	0	0
신뢰도	0	0	0	62	0	0	0	0	74	0	0	0	1	0	0	36	62	0	0	0	26	0	0	0	0	0	47	0	0	0	179	73	31	0	125	0	1	26	0	17	0	0	0	0	0	18	0	6	0	47	0	0	0	0	0
영어	8	32	3	1	3	31	5	36	60	3	17	4	13	1	6	5	54	0	4	0	14	14	8	15	0	0	5	0	17	0	4	28	7	37	1	13	0	21	0	15	4	0	1	17	18	1	1	1	0	25	0	0	0	0	0
로드맵	71	0	1	0	0	0	0	0	1	77	0	0	0	0	0	5	1	95	1	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	96	0	0	1	0	93	0	0	0	0	0	0
