진로상담	509	9	10	22	1	0	30	0	7	26	1	1	3	62	3	0	1	248	6	26	0	31	0	24	6	0	0	4	31	0	1	1	0	6	1	59	2	0	3	0	1	0	0	1	1	135	0	1	0	59	51	4	0	0	0	59	1	0	0	0	0	66	1	0	1	0	0	97	4	2	10	0	1	0	0	0	0	0	9	0	0	1	0	1	0
취업동아리	2	1	0	12	11	0	0	1	0	0	1	0	0	29	2	6	1	0	55	77	0	4	9	1	10	0	0	3	0	9	0	0	0	2	28	0	7	0	38	1	0	0	0	0	16	16	0	15	0	0	363	1	0	0	0	0	0	0	0	0	0	0	3	2	0	11	7	7	1	0	73	8	1	1	28	1	0	1	0	0	0	2	0	0	0
입사지원서	2	1	0	3	2	0	32	17	1	0	30	0	0	6	3	0	26	4	2	11	0	9	3	0	8	0	0	2	33	0	0	0	0	2	278	0	2	32	5	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0	13	2	0	1	2	3	2	0	16	5	1	0	5	3	0	0	0	0	0	1	0	1	0
정서안정	31	0	0	0	0	180	0	0	168	0	0	0	0	0	0	0	0	0	0	182	0	182	0	0	0	0	0	103	168	0	0	0	0	33	0	0	0	0	119	0	0	0	0	0	0	0	183	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
희망직무	2	51	0	5	1	0	2	6	1	0	1	0	0	3	3	0	0	0	14	17	0	4	3	3	238	0	0	4	1	0	0	0	0	0	4	0	2	2	1	1	0	1	0	0	0	0	0	2	0	0	3	5	0	0	0	0	5	0	51	51	0	0	0	3	0	0	1	3	2	0	23	5	10	0	0	4	0	0	0	2	3	5	0	0	0
참여	58	18	0	284	12	0	1	15	1	21	15	0	2	17	9	0	4	4	31	64	0	16	27	15	14	0	100	6	2	0	0	1	0	0	34	0	7	5	21	1	16	4	0	0	0	2	0	5	0	0	23	4	0	0	1	0	2	1	0	0	0	22	11	7	0	10	5	40	6	0	83	1	0	19	20	1	0	2	1	0	13	5	6	0	0
계획	347	19	0	14	7	0	0	12	5	17	26	4	0	129	11	1	6	164	22	73	0	35	3	4	13	0	0	30	0	11	0	23	0	2	30	61	19	1	19	135	16	0	0	0	2	0	0	17	0	65	115	5	2	0	5	60	18	4	0	0	0	67	9	2	0	3	9	158	15	1	35	5	4	1	21	0	0	0	10	6	3	3	0	1	0
신뢰도	54	0	0	0	1	281	86	1	168	0	0	0	0	3	0	0	0	0	0	210	0	207	1	0	0	0	0	103	349	0	0	0	0	33	2	0	0	2	146	0	0	0	183	0	0	0	0	0	207	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	34	1	0	0	0	0	0	1	0	23	0
2학기	12	9	0	1	9	0	0	1	0	0	0	1	53	6	7	1	1	0	8	141	0	17	3	0	9	0	0	2	0	0	0	0	0	1	20	0	7	1	13	1	15	2	0	2	5	17	0	0	0	5	28	19	0	0	0	0	55	96	0	0	0	1	2	0	0	1	1	102	2	7	13	1	3	0	2	1	0	0	2	53	3	5	0	0	0
자기통제	54	0	0	0	0	203	1	0	168	0	0	0	0	0	0	0	0	0	0	206	0	205	1	0	0	0	0	103	194	0	0	0	0	33	0	0	0	0	143	0	0	0	215	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	23	0
교과목	189	115	0	0	140	2	1	14	115	0	1	0	0	64	1	113	0	1	0	117	0	6	0	0	0	0	0	1	2	0	1	0	0	2	0	61	1	0	1	59	0	0	0	0	0	65	2	5	0	0	0	1	0	0	0	59	0	0	0	0	136	65	1	0	1	0	0	0	0	1	2	0	1	1	115	0	0	0	1	0	0	1	0	0	0
동아리	73	27	0	24	15	0	0	2	0	18	12	3	0	39	6	6	4	127	69	113	0	14	11	1	25	0	0	4	0	9	0	0	0	4	51	0	8	4	52	51	363	0	0	3	23	115	0	28	0	0	0	3	0	0	3	0	4	0	0	0	0	0	6	3	0	22	8	108	4	2	104	10	2	1	42	1	1	1	17	2	0	7	0	0	0
학점	30	26	2	3	14	13	0	9	13	76	3	6	61	27	97	1	3	24	33	138	0	48	6	0	86	0	2	2	0	0	0	0	0	15	27	0	79	3	13	4	1	0	0	5	4	5	0	19	0	1	3	0	0	0	1	0	26	0	0	0	0	3	4	5	0	4	2	10	9	68	65	9	1	1	8	3	0	0	78	7	2	12	5	0	0
커리어로드맵	0	0	0	245	1	0	0	0	0	245	0	0	0	2	0	0	0	1	0	1	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
연계소그룹상담	322	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
지원동기	0	2	0	2	2	0	0	26	0	0	26	2	0	7	1	0	32	1	3	54	0	12	70	0	1	0	0	0	0	2	0	0	0	1	219	0	1	10	1	0	0	0	0	0	1	5	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	7	3	0	0	0	0	0	1	21	2	3	0	0	0	3	6	0	0	0	0	0	1	0
학교적응	208	2	0	0	0	0	0	0	0	0	0	59	87	91	0	0	0	31	0	1	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	59	0	0	0	0	0	60	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
영어	21	6	0	10	5	0	1	12	6	5	6	0	1	26	26	0	4	5	37	138	0	36	29	4	21	0	0	8	1	0	0	0	0	0	25	0	44	0	31	1	0	4	0	5	2	18	0	55	0	0	4	26	0	0	1	0	0	6	0	0	0	1	10	8	0	6	2	21	14	4	63	4	6	0	4	3	0	0	1	60	4	18	0	1	0
겨울방학	4	0	0	62	0	0	1	3	0	0	1	0	0	5	40	0	0	0	7	138	0	10	14	22	5	0	0	0	1	0	0	0	0	3	5	0	8	4	10	0	0	2	0	0	1	4	0	96	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	1	1	192	1	2	9	0	1	0	2	0	0	0	1	1	0	0	0	5	0
선배들	7	131	0	0	78	0	0	0	80	0	0	2	0	1	0	78	0	0	0	78	0	2	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	1	0	0	0	78	0	0	0	0	0	0	0	0	0	0
성공사례	0	129	0	0	78	0	0	0	78	0	0	0	0	0	0	78	0	0	0	78	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0
수강설계	0	113	0	0	136	0	0	0	113	0	0	0	0	0	0	113	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0
진로설계	1241	23	334	19	6	77	0	2	46	98	6	1	0	64	37	0	0	80	2	67	0	125	1	6	3	0	0	365	0	0	2	31	0	73	0	288	0	0	0	66	0	0	0	0	22	67	0	1	0	65	0	3	0	161	0	59	1	0	0	0	0	0	0	1	2	0	0	1	1	0	2	0	0	1	4	0	0	0	5	0	0	0	2	0	0
인턴	3	9	0	8	5	0	3	46	1	0	66	1	0	8	5	0	43	3	19	72	0	27	71	0	26	0	0	1	0	0	0	0	0	0	94	0	4	14	11	1	3	13	0	0	11	9	0	2	0	1	6	4	0	0	7	0	10	5	0	0	0	0	0	3	0	2	7	10	9	5	47	30	0	0	0	2	10	3	2	8	3	5	0	0	0
이력서	3	2	0	16	2	0	0	57	0	0	57	0	0	7	5	0	9	0	8	25	0	15	11	1	13	0	0	4	0	0	0	0	0	1	25	0	2	14	6	0	2	2	0	3	7	2	0	0	0	0	3	5	0	0	3	0	8	0	0	0	0	1	3	0	0	5	0	3	1	1	25	1	0	0	2	1	0	1	0	0	4	0	0	1	0
직업선호도검사	15	1	0	0	0	0	109	0	1	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	3	0	0	0	0	0	128	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	8	9	0	0	0	0	0	0	0	0	0	0
대기업	5	5	0	19	11	0	0	13	2	0	16	0	2	26	2	0	0	0	142	95	0	28	9	0	37	0	0	2	0	0	0	0	0	6	25	0	4	1	44	0	11	1	0	0	10	3	0	1	0	0	22	4	0	0	0	0	6	1	0	0	0	0	2	5	0	0	1	3	5	2	421	1	0	0	1	1	1	0	0	1	0	1	0	6	0
하반기	1	1	0	13	12	0	1	9	1	0	4	0	0	17	33	0	3	0	30	50	0	5	13	0	11	0	0	0	0	0	0	0	0	0	32	0	5	2	15	0	7	2	0	1	5	9	0	1	0	0	8	2	0	0	0	0	2	1	0	0	0	0	7	0	0	1	0	5	1	0	45	5	0	0	0	2	1	0	0	0	0	3	0	0	0
방학	146	6	0	146	8	0	1	8	0	9	11	3	0	15	97	6	1	194	18	239	0	27	25	33	27	0	6	3	1	0	0	0	0	5	15	0	34	6	36	97	7	3	0	3	40	158	0	102	0	0	108	10	0	0	0	0	21	192	0	0	0	1	10	3	0	3	5	0	5	6	31	6	2	19	30	1	0	0	5	5	1	4	2	5	0
대학원	35	19	0	3	9	0	5	15	10	1	21	0	0	18	3	0	11	0	21	54	0	45	6	0	40	0	0	4	3	0	2	0	0	0	26	0	4	4	12	4	1	2	0	2	6	15	0	2	0	0	4	9	0	0	0	0	14	1	0	0	0	1	9	1	2	5	1	5	0	3	41	0	0	3	11	1	0	1	0	1	1	1	0	2	0
현장실습	4	5	0	3	4	0	0	3	2	59	6	2	63	2	62	0	3	2	3	79	0	11	4	0	11	0	0	1	0	0	0	0	0	1	9	0	65	2	5	2	0	0	0	0	0	1	0	7	0	1	2	68	0	0	1	0	4	2	0	0	0	0	5	1	0	2	0	6	3	0	16	3	1	0	0	0	0	0	59	8	0	9	1	0	0
기업	82	40	0	85	83	133	143	125	22	5	107	1	7	349	47	12	21	6	1216	874	0	176	97	3	319	0	0	60	141	11	2	0	0	21	351	0	55	17	227	10	73	16	0	23	83	35	135	13	0	2	104	65	0	0	21	0	63	9	1	0	0	2	47	25	2	421	45	31	41	16	0	56	28	6	42	31	4	2	3	11	5	57	8	23	0
한전	3	1	0	1	11	0	0	16	0	0	29	0	0	31	1	7	15	1	46	86	0	7	72	0	19	0	0	0	0	0	0	0	0	0	42	0	9	6	9	0	8	5	0	5	1	5	0	1	0	0	10	9	0	0	2	0	4	0	0	0	0	0	30	1	0	1	5	6	0	3	56	0	0	0	10	8	7	8	0	1	0	14	1	1	0
공무원	20	2	0	0	4	0	5	13	1	0	8	1	0	5	4	0	11	0	26	77	0	21	27	0	38	0	0	2	4	0	0	0	0	3	11	0	8	6	6	1	1	1	0	10	0	4	0	3	0	1	2	1	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	2	0	1	28	0	0	2	2	0	8	2	0	1	0	3	1	3	0
진로방향	266	1	0	29	4	4	0	2	0	0	2	1	1	2	20	0	1	0	6	15	0	64	7	0	1	0	0	0	0	0	8	0	0	1	2	0	2	1	1	0	1	0	0	0	19	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	19	3	0	6	0	2	0	261	1	0	0	0	0	0	0	0	1	0
방향	466	700	0	34	621	35	0	18	633	15	3	1	6	29	28	626	2	5	31	766	0	221	17	0	12	0	0	25	20	9	9	1	0	39	16	0	4	7	60	0	28	5	33	0	20	21	34	2	33	115	42	8	0	0	0	0	4	2	78	78	113	4	0	2	9	1	0	30	11	0	42	10	2	261	0	5	2	1	0	0	3	2	0	6	0
코레일	1	0	0	0	10	0	0	43	0	0	17	0	0	9	0	0	10	0	21	24	0	3	14	0	18	0	0	0	1	0	0	0	0	0	33	0	3	4	6	0	1	3	0	4	1	0	1	1	0	0	1	3	0	0	0	0	3	0	0	0	0	0	2	1	0	1	2	1	1	0	31	8	0	1	5	0	2	0	0	0	0	7	0	0	0
면접준비	0	2	0	1	1	0	0	4	0	0	2	0	0	0	0	0	0	0	1	132	0	7	157	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	10	0	0	1	1	0	0	0	4	7	8	0	2	2	0	4	0	0	0	0	0	0	0
모의면접	0	0	0	1	5	0	0	2	0	0	1	0	0	2	0	0	1	0	1	14	0	2	162	0	0	0	0	0	0	2	0	0	0	0	7	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	8	2	0	1	0	4	0	0	0	0	0	1	0	0
대외활동	89	25	0	13	0	45	0	2	46	147	1	1	59	14	107	0	2	87	0	125	0	58	0	0	0	0	0	25	0	0	0	0	0	46	1	0	61	0	2	9	0	0	0	0	1	10	0	2	0	1	17	78	2	0	0	0	1	1	0	0	0	5	2	0	0	0	0	5	0	59	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
