지원동기	2	3	2	0	0	0	0	1	0	0	14	0	0	0	5	0	5	10	17	1	0	42	0	137	1	1	0	1	0	0	29	2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	3	0	0	0	1
학교생활	13	0	0	0	0	0	0	0	0	0	1	0	10	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
국제무역	1	59	14	11	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	0	3	0	0	0	0	0	0	2	3	8	1	79	0	0	0	0	2	5	2	1	1	1	0	0	3	3	0	0
시험	5	40	20	9	0	6	0	0	0	0	4	0	2	0	2	0	2	2	5	11	0	34	0	32	0	0	0	30	1	3	0	8	23	1	0	0	1	0	2	0	0	4	1	5	18	0	69	0	0	0	0
해외취업	2	3	1	19	0	0	0	0	0	0	3	0	4	0	2	3	49	0	5	9	0	8	0	9	0	0	0	7	1	0	1	0	4	0	0	0	0	0	5	0	0	0	0	2	1	0	0	0	0	0	0
중국어	2	15	7	1	0	5	0	0	0	0	7	2	0	0	2	52	5	3	0	6	2	11	0	15	50	0	0	2	3	0	91	0	27	1	1	0	1	0	2	4	0	0	1	2	8	0	0	0	0	0	0
지원분야	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	90	0	0	0	4	0	0	1	22	0	0	0	7	0	0	1	1	0	1	0	18	1	0	3	0	0	0	0
마케팅	14	25	16	22	8	2	0	3	0	0	10	0	0	0	3	4	7	5	1	4	0	115	0	47	0	0	0	5	2	0	3	15	3	3	0	3	1	0	1	5	2	2	18	0	4	0	3	0	4	0	2
토익	1	28	13	1	5	37	0	6	0	0	0	0	0	0	1	0	2	0	2	20	0	11	0	10	0	0	0	13	2	0	3	12	20	1	0	0	0	0	1	18	1	8	1	4	0	0	3	0	0	0	2
대학생활	45	1	0	0	3	1	27	0	0	0	0	9	0	219	0	0	0	0	0	2	0	1	0	0	0	0	150	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
공무원	1	13	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	4	2	20	0	12	0	17	0	0	0	20	3	0	0	5	1	0	0	0	3	0	0	69	0	0	3	3	3	0	0	0	0	0	1
무역실무자	0	3	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	68	0	0
양성과정	0	3	0	31	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	68	0	0	0
블라인드	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	8	0	62	0	0	0	3	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
전공관련	0	6	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	34	0	1	2	1	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0
